time m <n0> <n1>  nActive
23 66 0.599523270406 0.515990030932 30
23.1 67 0.59848481698 0.515910793846 30
23.2 66 0.597452754946 0.515833568114 30
23.3 67 0.596426907364 0.515758350159 30
23.4 66 0.595407114957 0.515685145482 30
23.5 67 0.594393244249 0.515613952001 30
23.6 67 0.59338518049 0.515544753131 30
23.7 68 0.592382832447 0.515477506813 30
23.8 68 0.591386134023 0.515412126055 30
23.9 68 0.59039503895 0.515348485488 30
24 69 0.589409527463 0.515286399334 30
24.1 68 0.588429604044 0.515225622506 30
24.2 69 0.587455290426 0.515165856239 31
24.3 71 0.586486633826 0.515106735116 31
24.4 70 0.585523701564 0.515047839151 31
24.5 70 0.584566579571 0.514988701041 32
24.6 71 0.583615368954 0.514928810898 32
24.7 71 0.582670189246 0.514867626938 32
24.8 72 0.581731172847 0.514804597015 32
24.9 73 0.580798463922 0.514739160188 32
25 72 0.579872216477 0.514670774451 32
25.1 73 0.578952588961 0.514598924795 32
25.2 73 0.578039749218 0.51452314249 32
25.3 74 0.577133865892 0.514443011572 32
25.4 72 0.576235107712 0.51435819012 32
25.5 76 0.57534364207 0.514268421136 32
25.6 76 0.574459631718 0.514173536388 32
25.7 78 0.573583233865 0.514073470646 32
25.8 76 0.572714600272 0.513968248022 32
25.9 77 0.571853870058 0.513858006359 32
26 78 0.571001171476 0.513742975629 32
26.1 79 0.570156622875 0.513623481647 32
26.2 80 0.569320323807 0.513499935792 32
26.3 81 0.568492363934 0.51337282213 32
26.4 83 0.567672814997 0.513242693174 32
26.5 81 0.566861731364 0.513110143853 32
26.6 83 0.566059152422 0.512975807702 32
26.7 81 0.565265101933 0.512840328921 32
26.8 82 0.564479583315 0.512704356818 32
26.9 81 0.563702584883 0.512568531913 32
27 83 0.562934078359 0.512433457141 32
27.1 82 0.562174017978 0.512299700906 32
27.2 83 0.561422344724 0.51216777215 32
27.3 83 0.560678984695 0.512038122447 32
27.4 85 0.559943850535 0.511911130001 32
27.5 85 0.559216842615 0.511787098144 32
27.6 86 0.558497846211 0.511666257252 32
27.7 86 0.557786742014 0.511548754337 32
27.8 85 0.55708339919 0.511434665783 32
27.9 86 0.556387679222 0.511323997834 32
28 87 0.555699441134 0.511216689083 32
28.1 86 0.555018531361 0.511112629885 33
28.2 86 0.554344801498 0.511011656291 32
28.3 89 0.553678097097 0.510913572163 32
28.4 88 0.553018263883 0.510818153829 33
28.5 87 0.552365149371 0.51072515345 33
28.6 89 0.551718600534 0.510634331285 34
28.7 88 0.551078471388 0.510545438307 34
28.8 91 0.550444616783 0.510458238097 34
28.9 90 0.549816902341 0.510372511182 34
29 90 0.54919519687 0.510288061638 34
29.1 90 0.548579377262 0.510204716562 34
29.2 91 0.547969327221 0.510122329998 34
29.3 91 0.54736494365 0.510040786936 34
29.4 93 0.546766130113 0.509959994237 34
29.5 92 0.546172802157 0.509879883944 34
29.6 93 0.545584886835 0.509800404394 34
29.7 94 0.545002317881 0.509721525012 34
29.8 94 0.544425044854 0.509643219474 34
29.9 93 0.543853027216 0.509565466453 34
30 94 0.543286231708 0.509488242874 34
30.1 95 0.542724639209 0.509411518093 34
30.2 97 0.54216823917 0.509335247975 34
30.3 95 0.541617034376 0.50925937066 34
30.4 97 0.541071030506 0.509183809596 34
30.5 96 0.540530244943 0.509108464283 34
30.6 97 0.539994704217 0.509033210725 34
30.7 98 0.539464438646 0.508957907124 34
30.8 95 0.538939485756 0.50888238917 34
30.9 95 0.538419887422 0.508806477193 34
31 95 0.537905690613 0.508729984427 34
31.1 98 0.537396943125 0.508652712053 34
31.2 98 0.536893696393 0.508574464997 34
31.3 97 0.536395998508 0.508495054121 35
31.4 101 0.535903903732 0.508414301117 35
31.5 100 0.535417457414 0.508332053757 35
31.6 99 0.534936705242 0.508248177411 35
31.7 100 0.534461692055 0.508162574327 35
31.8 101 0.53399245326 0.508075187665 35
31.9 102 0.53352902642 0.507985995801 35
32 101 0.533071436768 0.50789502355 35
32.1 103 0.532619706263 0.507802335815 35
32.2 103 0.532173850881 0.507708050184 35
32.3 102 0.531733874317 0.507612318432 35
32.4 103 0.531299779969 0.507515337177 35
32.5 105 0.530871557163 0.507417339933 35
32.6 105 0.530449191714 0.507318587136 35
32.7 103 0.530032659317 0.5072193673 35
32.8 103 0.529621930657 0.507119980874 35
32.9 104 0.529216967733 0.507020742081 35
33 103 0.528817723383 0.506921960838 35
33.1 104 0.528424146181 0.50682394209 35
33.2 104 0.528036176892 0.506726981266 35
33.3 107 0.527653752433 0.506631344335 35
33.4 105 0.527276802694 0.506537272561 35
33.5 107 0.526905253545 0.506444975382 35
33.6 108 0.526539027987 0.50635462207 35
33.7 109 0.5261780458 0.50626633995 35
