iteration m energy
1 12 -30.1794856241
2 40 -30.199668174
3 65 -30.1997123078
4 69 -30.1997123147
5 70 -30.1997123147
6 70 -30.1997123147
7 70 -30.1997123147
8 70 -30.1997123147
9 70 -30.1997123147
10 70 -30.1997123147
11 70 -30.1997123147
12 70 -30.1997123147
13 70 -30.1997123147
14 70 -30.1997123147
15 70 -30.1997123147
16 70 -30.1997123147
17 70 -30.1997123147
18 70 -30.1997123147
19 70 -30.1997123147
20 70 -30.1997123147
14.8 154 0.712342196042 0.522767422871
14.9 155 0.710644993437 0.522630994253
15 156 0.708959456171 0.522500260694
15.1 158 0.707285612533 0.522375693231
15.2 159 0.70562343879 0.522257477745
15.3 160 0.703972860083 0.522145548108
15.4 161 0.702333751287 0.522039627345
15.5 163 0.700705940589 0.521939274097
15.6 164 0.699089211375 0.521843931613
15.7 166 0.697483306124 0.521752977765
15.8 167 0.695887929615 0.521665773419
15.9 169 0.694302754345 0.52158170704
16 170 0.692727421069 0.521500235426
16.1 172 0.691161547466 0.521420915968
16.2 173 0.689604730891 0.521343432414
16.3 175 0.688056554702 0.521267611421
16.4 176 0.686516592377 0.521193430523
16.5 178 0.684984412905 0.52112101697
16.6 179 0.683459586216 0.521050638123
16.7 181 0.681941688517 0.5209826836
16.8 183 0.680430307728 0.520917641486
16.9 185 0.678925046047 0.520856068306
17 186 0.677425527377 0.520798555047
17.1 188 0.675931400617 0.520745690892
17.2 190 0.674442343776 0.52069802601
17.3 192 0.672958067476 0.520656035252
17.4 193 0.67147831873 0.520620084071
17.5 195 0.670002883444 0.520590399124
17.6 196 0.668531586969 0.520567042825
17.7 197 0.667064297248 0.520549894729
17.8 199 0.66560092697 0.520538640267
17.9 200 0.664141432422 0.520532766216
18 202 0.662685814058 0.520531563785
18.1 204 0.66123411562 0.520534140156
18.2 205 0.659786423355 0.520539436048
18.3 207 0.658342864371 0.520546250361
18.4 208 0.656903604953 0.52055327
18.5 210 0.6554688465 0.520559104686
18.6 211 0.654038822886 0.520562324216
18.7 213 0.652613799391 0.520561497849
18.8 214 0.651194066691 0.52055523416
18.9 215 0.64977993822 0.520542220105
19 217 0.648371745468 0.520521257374
19.1 218 0.646969834018 0.520491295264
19.2 220 0.64557455968 0.520451459203
19.3 222 0.644186285204 0.520401073277
19.4 224 0.64280537237 0.520339677761
19.5 226 0.641432181837 0.520267037848
19.6 228 0.640067067574 0.520183147513
19.7 604 0.637858976476 0.520044249597
19.8 623 0.636520045612 0.519938777908
19.9 645 0.635190367512 0.519822231548
20 669 0.633870233251 0.519695434774
20.1 698 0.632559909836 0.519559380299
