# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
6.4 248 33 25.415618 -0.107669972796 -0.446137800517 0.500000207799 -0.23688794562 8.03862397077e-07 -0.101752922005 -0.079987336759
6.5 252 33 23.479945 -0.108667031163 -0.445222238749 0.500000223332 -0.236887024713 7.5011890623e-07 -0.101752544318 -0.0801203040147
6.6 256 32 25.035704 -0.109658031617 -0.444310681003 0.500000237767 -0.23688615474 6.88009640986e-07 -0.101752185777 -0.0802449405747
6.7 260 33 27.666215 -0.110643254095 -0.44340263429 0.500000250804 -0.236885327726 6.16465717375e-07 -0.101751843245 -0.0803622226117
6.8 264 33 28.171924 -0.111622932353 -0.442497610966 0.500000262411 -0.236884567666 5.42418316062e-07 -0.101751526621 -0.0804731208124
6.9 268 33 26.220624 -0.11259724417 -0.441595127822 0.500000272457 -0.236883869033 4.59902174102e-07 -0.101751233901 -0.0805785789846
7 272 42 32.235031 -0.113566316 -0.440694717097 0.500000280887 -0.236883236571 3.7678281444e-07 -0.101750966883 -0.0806795206052
7.1 276 40 35.213663 -0.114530227301 -0.439795922107 0.500000287643 -0.236882679986 2.91378962692e-07 -0.10175072953 -0.0807768441048
7.2 280 32 25.866917 -0.115489011168 -0.438898305201 0.500000292565 -0.236882193256 2.01757742595e-07 -0.101750520587 -0.0808714088184
7.3 284 34 26.889302 -0.116442660771 -0.43800144972 0.500000295925 -0.236881774224 1.26314982501e-07 -0.101750337015 -0.0809640360543
7.4 288 32 26.201505 -0.117391128094 -0.437104966901 0.500000297949 -0.2368814272 5.95364394781e-08 -0.101750184762 -0.0810555058674
7.5 292 34 32.633695 -0.118334326552 -0.436208493488 0.500000298531 -0.236881159225 -7.6293110024e-09 -0.101750061247 -0.0811465466747
7.6 296 32 30.95276 -0.119272136828 -0.435311698734 0.500000297812 -0.236880962497 -6.81499344232e-08 -0.101749966546 -0.0812378411998
7.7 300 33 33.925245 -0.120204415296 -0.43441427803 0.500000295805 -0.236880833722 -1.2533171018e-07 -0.10174990001 -0.0813300160239
