bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
16.7  0.107887 0.145892 12 8   1.19785 0.00945271 25   0.00993455
16.8  0.10797 0.146034 12 8   1.19832 0.00946682 26   0.00244232
16.9  0.107823 0.153958 12 8   1.20011 0.00949727 26   0.0023422
17  0.108605 0.161086 12 8   1.20105 0.00943254 26   0.00672937
17.1  0.108105 0.145087 12 8   1.20017 0.00945832 26   0.00309564
17.2  0.107899 0.149875 12 8   1.19965 0.00947402 26   0.0113967
17.3  0.107932 0.147698 12 8   1.19976 0.00946171 26   0.007047
17.4  0.114872 0.147752 12 8   1.20097 0.00944478 26   0.0101349
17.5  0.107987 0.144408 12 9   1.20295 0.00943395 26   0.00245896
17.6  0.114943 0.148344 12 8   1.20376 0.00953048 26   0.00517869
17.7  0.121132 0.148748 12 9   1.20398 0.00949634 26   0.0082982
17.8  0.121316 0.151328 12 8   1.20403 0.00949082 26   0.00603599
17.9  0.107469 0.150871 12 8   1.20421 0.0094503 26   0.0096985
18  0.120972 0.149142 12 8   1.20472 0.00943774 26   0.00888114
18.1  0.127629 0.150182 12 8   1.20541 0.00945762 26   0.0155848
18.2  0.107944 0.148695 12 8   1.20531 0.00943217 26   0.00912273
18.3  0.134043 0.144216 12 8   1.2038 0.00946023 26   0.0087088
18.4  0.127276 0.151674 12 8   1.20575 0.00943914 26   0.0263026
18.5  0.120252 0.146475 12 8   1.20458 0.0094373 26   0.0123518
18.6  0.133972 0.147276 12 8   1.20371 0.00945089 26   0.00735367
18.7  0.127356 0.157592 12 8   1.20526 0.00947295 26   0.00155052
18.8  0.121029 0.147543 12 8   1.20506 0.00947121 26   0.0174333
18.9  0.114155 0.147501 12 8   1.2051 0.00943752 26   0.0106627
19  0.114586 0.150554 12 8   1.20578 0.00943625 26   0.00935751
19.1  0.108009 0.148956 12 8   1.20744 0.00946133 26   0.00578868
19.2  0.101044 0.154595 12 8   1.20644 0.00945116 26   0.00619418
19.3  0.121325 0.146815 12 9   1.20669 0.0094286 26   0.00411629
19.4  0.121321 0.150602 12 9   1.20659 0.00943044 26   0.0185945
19.5  0.127884 0.145915 12 9   1.20594 0.00943168 26   0.00367282
19.6  0.114611 0.153402 12 8   1.20655 0.0094617 26   0.00199457
19.7  0.10795 0.152997 12 9   1.20705 0.00943207 26   0.0368854
19.8  0.11476 0.152132 12 8   1.20764 0.00942723 26   0.0368994
19.9  0.10085 0.148181 12 8   1.20548 0.00951446 26   0.0370856
20  0.107698 0.149205 12 8   1.20634 0.00943845 26   0.0374328
20.1  0.121081 0.15216 12 8   1.2068 0.00944733 26   0.0379266
20.2  0.114588 0.15151 12 8   1.20962 0.00946788 26   0.0133595
20.3  0.114527 0.153909 12 8   1.20698 0.00944727 26   0.0169327
20.4  0.107807 0.153587 12 8   1.2073 0.00947149 26   0.0130769
20.5  0.114281 0.148801 12 8   1.20587 0.00945764 26   0.00194494
20.6  0.114581 0.148295 12 8   1.20565 0.00959453 26   0.000658747
20.7  0.101144 0.14903 12 8   1.20704 0.0094911 27   0.00102639
20.8  0.101393 0.144953 12 8   1.2065 0.0094845 27   0.00408323
20.9  0.0942411 0.158543 12 8   1.20709 0.00944708 27   0.00530157
21  0.114734 0.161552 12 8   1.20871 0.0094591 27   0.0208251
21.1  0.100951 0.151685 12 8   1.2092 0.00945993 27   0.00176453
21.2  0.114608 0.155275 12 8   1.20835 0.00945403 27   0.00582136
21.3  0.100797 0.161843 12 8   1.20931 0.00947752 27   0.00674902
21.4  0.114355 0.153829 12 8   1.20888 0.0094503 27   0.00514075
21.5  0.101222 0.156517 12 8   1.20773 0.00947157 27   0.00825879
21.6  0.114613 0.161923 12 8   1.20734 0.00944056 27   0.0117854
21.7  0.107575 0.152185 12 8   1.2064 0.00947547 28   0.00939056
21.8  0.107861 0.150834 12 8   1.20587 0.00945642 28   0.00591923
21.9  0.12093 0.154799 12 8   1.20597 0.00945291 28   0.0112354
22  0.107891 0.152809 12 8   1.20669 0.00947315 28   0.00684618
22.1  0.108161 0.152661 12 8   1.20563 0.00942911 28   0.00868604
22.2  0.116306 0.158462 12 8   1.20945 0.00945501 28   0.0111559
22.3  0.114413 0.162156 12 8   1.20813 0.00943665 28   0.00352424
