# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=star
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
32.1 200 93 8.990944 0.500115878945 0.506993438998
32.2 200 93 7.236799 0.499684554043 0.507031790287
32.3 200 93 7.122623 0.499258262828 0.50706564069
32.4 200 93 7.770349 0.498836979914 0.507094754792
32.5 200 93 7.257349 0.498420677032 0.507119033526
32.6 200 94 9.65411 0.498009325662 0.507138510676
32.7 200 94 7.341209 0.497602893395 0.507153347507
32.8 200 94 7.261809 0.497201346356 0.507163823757
32.9 200 94 7.342088 0.496804648137 0.507170325571
33 200 95 7.469245 0.496412760888 0.507173324267
33.1 200 96 7.455226 0.496025644868 0.507173360399
33.2 200 96 7.507309 0.495643259752 0.507171022945
33.3 200 96 7.578756 0.495265562507 0.507166925893
33.4 200 96 7.602359 0.494892510232 0.507161687576
33.5 200 97 7.602683 0.494524060091 0.507155904581
33.6 200 97 7.608006 0.494160169173 0.507150133082
33.7 200 97 7.596055 0.49380079635 0.507144857962
33.8 200 97 7.644426 0.493445892542 0.507140506546
33.9 200 97 7.730503 0.493095416102 0.507137413497
34 200 97 7.618184 0.492749325798 0.507135814063
34.1 200 98 7.613703 0.492407580336 0.507135841778
34.2 200 98 7.640255 0.492070138204 0.50713752793
34.3 200 98 7.672254 0.491736960617 0.507140803602
34.4 200 98 7.694729 0.491408009823 0.507145504159
34.5 200 98 7.693719 0.491083247957 0.507151381172
34.6 200 98 7.697508 0.490762640173 0.507158115548
34.7 200 98 7.688903 0.490446150108 0.507165330675
34.8 200 98 7.678487 0.490133746695 0.507172610381
34.9 200 98 7.781198 0.489825395685 0.507179521582
35 200 98 7.757329 0.489521064638 0.50718562916
35.1 200 98 7.795846 0.489220720927 0.507190514811
35.2 200 98 7.878958 0.488924335062 0.507193803211
35.3 200 99 7.793795 0.488631873277 0.507195163777
35.4 200 99 7.81325 0.488343306448 0.507194328875
35.5 200 99 7.88304 0.488058603532 0.507191107237
35.6 200 99 7.939125 0.487777733394 0.507185388938
35.7 200 100 7.929996 0.487500666352 0.507177157636
35.8 200 100 7.936991 0.487227376164 0.507166484325
35.9 200 101 7.83929 0.486957828364 0.507153528066
36 200 101 7.909204 0.486691990512 0.507138527546
36.1 200 101 7.946106 0.486429834936 0.507121798195
36.2 200 102 8.137533 0.486171332656 0.507103719924
36.3 200 102 8.127748 0.485916455678 0.507084721018
36.4 200 102 8.144821 0.485665177604 0.507065262691
36.5 200 102 8.147908 0.48541747266 0.507045823409
36.6 200 102 8.084612 0.485173317046 0.507026936728
36.7 200 103 8.111117 0.484932684632 0.507009313327
36.8 200 103 8.153378 0.484695556387 0.506993439602
36.9 200 103 8.212052 0.484461911957 0.506979672844
37 200 103 8.25045 0.484231735804 0.506968297674
37.1 200 103 8.263082 0.484005012574 0.506959512931
37.2 200 103 7.981064 0.483781728622 0.506953424719
37.3 200 103 7.93622 0.48356187557 0.506950044943
37.4 200 104 8.152472 0.48334544382 0.506949289979
37.5 200 104 7.788154 0.483132426733 0.506950982976
37.6 200 104 7.627564 0.482922818091 0.50695485958
37.7 200 104 7.601301 0.482716613018 0.506960576498
37.8 200 104 7.788436 0.482513806957 0.506967725434
37.9 200 104 7.65813 0.482314396602 0.506975842572
38 200 104 7.67154 0.482118377876 0.50698442992
38.1 200 104 7.711801 0.481925746055 0.506992967025
38.2 200 104 7.974592 0.481736496504 0.507000930894
38.3 200 104 7.778008 0.481550622548 0.507007813053
38.4 200 104 7.726363 0.481368115337 0.507013135948
38.5 200 104 7.756872 0.481188964243 0.507016468769
38.6 200 104 7.875811 0.481013155153 0.507017440166
38.7 200 105 7.841627 0.480840672601 0.50701575115
38.8 200 105 7.847218 0.480671497306 0.507011182181
38.9 200 105 7.85467 0.480505607117 0.507003599169
39 200 105 7.850438 0.48034297648 0.50699295707
39.1 200 105 7.860625 0.480183576702 0.50697929934
39.2 200 105 7.90176 0.480027375051 0.506962753436
39.3 200 105 7.921839 0.479874335932 0.506943526949
39.4 200 105 7.965492 0.479724421494 0.506921896958
39.5 200 105 8.006988 0.479577588187 0.506898197428
39.6 200 105 7.93062 0.479433791235 0.506872808868
39.7 200 105 7.990478 0.479292983523 0.506846142458
39.8 200 105 8.029801 0.479155114413 0.506818623792
39.9 200 105 8.085512 0.479020133115 0.506790681412
40 200 106 8.161314 0.478887988822 0.506762728366
40.1 200 106 8.106211 0.478758627346 0.506735150764
40.2 200 106 8.152762 0.478631993703 0.506708292463
40.3 200 106 8.155499 0.478508033678 0.506682445663
40.4 200 107 8.214555 0.478386691844 0.506657844467
40.5 200 107 8.201869 0.47826791383 0.506634654611
40.6 200 108 8.300734 0.478151644947 0.506612971856
40.7 200 108 8.347696 0.47803783327 0.506592821101
40.8 200 108 8.369659 0.477926427242 0.506574159168
40.9 200 108 8.343897 0.47781737608 0.506556876696
41 200 108 8.36075 0.477710629998 0.506540808148
41.1 200 108 8.430709 0.477606142692 0.506525738962
41.2 200 108 8.397264 0.477503868464 0.506511418222
41.3 200 109 8.432561 0.477403763608 0.506497567643
41.4 200 109 8.506433 0.47730578631 0.506483897337
41.5 200 109 8.530855 0.47720989698 0.506470117888
41.6 200 109 8.544666 0.47711605946 0.506455951936
41.7 200 109 8.554433 0.47702423832 0.50644114907
41.8 200 109 8.581461 0.476934400554 0.506425494133
41.9 200 111 8.582801 0.476846516161 0.506408818045
42 200 111 8.613199 0.476760554848 0.506391005123
42.1 200 111 8.65364 0.476676489664 0.506371998688
42.2 200 111 8.679473 0.476594296393 0.506351801934
42.3 200 111 8.69328 0.476513952369 0.506330479563
42.4 200 112 8.723795 0.476435438535 0.50630815673
42.5 200 112 8.7505 0.47635873724 0.506285012652
42.6 200 112 8.690216 0.476283833657 0.506261274312
42.7 200 113 8.714601 0.47621071536 0.506237208248
42.8 200 114 8.822691 0.476139373095 0.506213108633
42.9 200 114 8.861124 0.47606979942 0.506189289168
43 200 115 8.804032 0.476001988744 0.506166070111
43.1 200 115 8.858066 0.475935938634 0.506143764664
43.2 200 115 8.818534 0.475871651875 0.506122666508
43.3 200 115 8.849303 0.475809132056 0.506103038028
43.4 200 115 8.820596 0.475748386255 0.506085099891
43.5 200 116 8.918445 0.475689422565 0.506069020796
43.6 200 116 8.853507 0.475632253319 0.506054911707
43.7 200 116 8.953129 0.47557689251 0.506042820034
43.8 200 116 8.957156 0.475523353262 0.506032724483
43.9 200 116 8.907125 0.475471654809 0.5060245376
44 200 116 8.94731 0.475421816416 0.506018104387
44.1 200 117 9.083878 0.475373858562 0.506013208577
44.2 200 117 9.083269 0.475327802376 0.506009577641
44.3 200 117 9.045029 0.475283668823 0.506006891011
44.4 200 117 9.068789 0.475241478371 0.506004790367
44.5 200 117 9.108568 0.47520125147 0.506002889791
44.6 200 118 9.078333 0.475163007205 0.506000788631
44.7 200 118 9.157631 0.475126763057 0.505998083117
44.8 200 118 9.23334 0.475092534078 0.505994379247
44.9 200 118 9.185773 0.475060332985 0.505989304733
45 200 118 9.285286 0.475030169927 0.505982520245
45.1 200 118 9.306265 0.475002051975 0.505973731203
45.2 200 118 9.339749 0.474975983018 0.505962694545
45.3 200 119 9.346645 0.474951961101 0.505949225036
45.4 200 119 9.332698 0.474929982482 0.505933201291
45.5 200 119 9.408381 0.474910037829 0.50591456952
45.6 200 120 9.426683 0.474892113195 0.505893341653
45.7 200 121 9.384225 0.474876190791 0.50586959483
45.8 200 121 9.394229 0.474862248663 0.505843466867
45.9 200 121 9.432399 0.474850260616 0.505815150731
46 200 121 9.421248 0.474840196213 0.505784887004
46.1 200 121 9.421943 0.474832020961 0.505752954796
46.2 200 121 9.463814 0.474825696855 0.505719661995
46.3 200 122 9.463823 0.47482118227 0.505685334334
46.4 200 123 9.486209 0.474818433765 0.505650304684
46.5 200 123 9.503929 0.474817400552 0.505614901533
46.6 200 123 9.504467 0.474818034695 0.505579439395
46.7 200 123 9.529642 0.474820284166 0.505544209478
46.8 200 123 9.566327 0.474824095166 0.505509470551
46.9 200 123 9.597269 0.474829413385 0.505475443351
47 200 123 9.611543 0.474836183286 0.505442304204
47.1 200 124 9.642847 0.474844348841 0.505410182292
47.2 200 125 9.675089 0.474853853798 0.5053791571
47.3 200 125 9.814546 0.47486464345 0.505349260646
