bench_green_cost_siam_v2 L 160 U 0.025 dt 0.1 nStep 800 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
75.4  0.218035 2.29406 13 9   2.6874 0.0191669 48   0.00415179
75.5  0.218584 3.92859 13 9   2.69164 0.0191456 48   0.00403061
75.6  0.205554 4.53799 13 9   2.68417 0.0189579 48   0.00407622
75.7  0.179838 2.62571 13 9   2.68733 0.0191168 48   0.00429147
75.8  0.192927 3.37602 13 9   2.68894 0.0189746 48   0.00411871
75.9  0.192006 4.29947 13 9   2.68936 0.0190381 48   0.00408694
76  0.217451 2.80843 13 9   2.69128 0.0190349 48   0.00382068
76.1  0.194088 1.67314 13 9   2.69253 0.0190586 48   0.00386682
76.2  0.182301 2.01649 13 9   2.6907 0.0191684 48   0.00399904
76.3  0.168109 5.50705 13 9   2.69272 0.0189735 48   0.00378134
76.4  0.181422 4.35217 13 9   2.69259 0.0189675 48   0.00427903
76.5  0.195067 2.14381 13 9   2.69168 0.0189918 49   0.00370424
76.6  0.182287 1.8247 13 9   2.69596 0.0190487 49   0.0040039
76.7  0.194914 3.00806 13 9   2.6963 0.0190216 49   0.00391204
76.8  0.194593 1.76745 13 9   2.69666 0.0190257 49   0.00382463
76.9  0.182228 1.9473 13 9   2.69754 0.0190792 49   0.00444272
77  0.205902 1.65974 13 9   2.69961 0.0189454 49   0.00378216
77.1  0.154809 1.75698 13 9   2.69938 0.0189562 49   0.00412922
77.2  0.194216 2.26046 13 9   2.70132 0.0190564 49   0.00405045
77.3  0.181025 1.7769 13 9   2.7002 0.0190273 49   0.00358742
77.4  0.169315 2.93819 13 9   2.70279 0.0190161 49   0.00391892
77.5  0.169104 2.30479 13 9   2.70469 0.0190966 49   0.0042521
77.6  0.192405 1.671 13 9   2.70388 0.0189638 49   0.0038276
77.7  0.167876 1.82047 13 9   2.70623 0.0189981 49   0.00396043
77.8  0.169812 1.78687 13 9   2.70396 0.0190908 49   0.00427321
77.9  0.180614 5.78843 13 9   2.70614 0.0191131 49   0.00385163
78  0.180826 3.96491 13 9   2.70527 0.0190354 49   0.00367536
78.1  0.168398 1.64506 13 9   2.70542 0.0191334 49   0.00381474
78.2  0.167432 2.63278 13 9   2.70479 0.0190636 49   0.00373996
78.3  0.168587 3.15916 13 9   2.70614 0.0190508 49   0.00373764
78.4  0.168366 3.13421 13 9   2.70875 0.0190068 49   0.00375914
78.5  0.182479 2.25826 13 9   2.70478 0.0189386 49   0.00381113
78.6  0.193088 3.00072 13 9   2.70437 0.0189548 49   0.00384816
78.7  0.182059 1.52258 13 9   2.70464 0.018968 49   0.00353562
78.8  0.181632 2.77464 13 9   2.70383 0.019127 49   0.00395344
78.9  0.206307 2.93261 13 9   2.71035 0.0189428 49   0.00388385
79  0.181438 2.85502 13 9   2.70385 0.0189797 49   0.00378118
79.1  0.181504 1.65179 13 9   2.70378 0.0191816 49   0.00374691
79.2  0.206012 2.44395 13 9   2.7053 0.019185 49   0.00379197
79.3  0.182617 1.92147 13 9   2.70415 0.0191273 49   0.00369102
79.4  0.180204 1.66426 13 9   2.70621 0.0190267 49   0.003624
79.5  0.205805 2.73055 13 9   2.70304 0.0190947 49   0.0036769
79.6  0.193281 1.72055 13 9   2.70392 0.0190891 49   0.0036363
79.7  0.167443 2.60418 13 9   2.70409 0.0191809 49   0.00364682
79.8  0.167923 2.58175 13 9   2.70542 0.0190647 50   0.00369587
79.9  0.181051 1.9916 13 9   2.70563 0.01899 50   0.00365926
80  0.191537 2.21477 13 9   2.7074 0.0189998 50   0.00334904
